SINO,JOb_Title,Position,Company,Location,State,Address
123,Scientist,Full-Time,"Kemin Industries, Inc.","Des Moines, IA",IA,"DesMoines,"
124,Bench Scientist I,Contractor,Townsend & Associates,"1 Burtt Road

Andover, MA",MA,"DesMoines,1BurttRoadAndover,"
125,Scientist – Global Clinical Pharmacology (1 of 2),Full-Time,Johnson & Johnson,"Spring House, PA


View 4 more",PA,"DesMoines,1BurttRoadAndover,SpringHouse,View4more"
126,Senior Scientist,Full-Time,"Organovo Holdings, Inc.","San Diego, CA",CA,"SanDiego,"
127,"Process Engineering, Scientist",Contractor,Townsend & Associates,"P.O. Box 191

One Squibb Drive

New Brunswick, NJ",CA,"SanDiego,"
128,Bench Scientist I,Full-Time,Real Staffing,"Richmond, VA",VA,"Richmond,"
129,Sr. Manufacturing Scientist - Downstream,Full-Time,Apex Life Sciences,"Gainesville, FL",FL,"Gainesville,"
130,Senior Research Scientist I Analytical Development,Full-Time,AMRI,"Albany, NY


View 3 more",NY,"Gainesville,Albany,View3more"
131,Data Scientist/ Data Engineer,Full-Time,Molex,"Lisle, IL",IL,"Lisle,"
132,"Chief Scientist II - Fusion, Battle Management, and Computing",Full-Time,BAE Systems,"Burlington, MA",MA,"Burlington,"
133,Environmental Assessment and Remediation Scientist or Engineer,Full-Time,Kleinfelder,"Hanover, MD",MD,"Hanover,"
134,Clinical Laboratory Scientist or Laboratory Technician,Full-Time,Eurofins,"Lee's Summit, MO


View 1 more",MO,"Hanover,Lee'sSummit,View1more"
135,Public Health Research Scientist,Full-Time,Battelle Memorial Institute,"St. Louis, MO


View 7 more",MO,"Hanover,Lee'sSummit,View1moreSt.Louis,View7more"
136,Computer Scientist (PMA-281),Full-Time,"Sabre Systems, Inc.","Point Mugu Nawc, CA",CA,"PointMuguNawc,"
137,Medical Technologist - Clinical Laboratory Scientist - (Med Tech - MT - CLS),Seasonal/Temp,Club Staffing,"Waimea, HI


View 2 more",HI,"PointMuguNawc,Waimea,View2more"
138,Engineer/Scientist,Full-Time,Cherokee Nation Businesses,"Silver Spring, MD


View 2 more",MD,"PointMuguNawc,Waimea,View2moreSilverSpring,View2more"
139,Bench Scientist I,Contractor,Townsend & Associates,"Pearl River, NY",NY,"PearlRiver,"
140,Associate Research Scientist,Full-Time,Charles River,"King of Prussia, PA


View 4 more",NY,"PearlRiver,"
141,Research Scientist III- Analytical Development,Full-Time,AMRI,"Albany, NY


View 3 more",NY,"PearlRiver,Albany,View3more"
142,NEON Observatory Director/Chief Scientist,Full-Time,Battelle Memorial Institute,"Boulder, CO",CO,"Boulder,"
143,Scientist (Small Molecule),Full-Time,Apex Life Sciences,"Shawnee, KS",KS,"Shawnee,"
144,Associate Scientist,Contractor,Fortira Inc,"Mountain View, CA",CA,"MountainView,"
145,Associate Vice President of Data Mining,Full-Time,The Rawlings Group,"Louisville, KY",KY,"Louisville,"
146,Formulation Scientist,Full-Time,Akorn Pharmaceutical,Norcross,KY,"Louisville,"
147,Formulation Scientist-Pharmaceutical,Full-Time,"Akorn, Inc.","Peoria, IL


View 17 more",17,"Louisville,Peoria,Viewmore"
148,Associate Scientist,Full-Time,Atrium Staffing,"Cambridge, MA",MA,"Cambridge,"
149,Assoc Scientist Bioscience,Contractor,Apex Life Sciences,"Mountain View California, CA


View 7 more",MA,"Cambridge,"
150,Scientist I,Full-Time,The Judge Group,"Ewing Township, NJ",NJ,"EwingTownship,"
151,Scientist,Contractor,"Integrated Resources, Inc","Ewing Township, NJ",NJ,"EwingTownship,"
152,Development Scientist,Full-Time | Pay: $30.00 - $35.00/hour,Atrium Staffing,"Cambridge, MA",MA,"Cambridge,"
153,Scientist (Assay Development),Full-Time | Pay: 25.00 - 37.00 /hour,Kelly Scientific Resources,"Cambridge, MA


View 2 more",MA,"Cambridge,Cambridge,View2more"
154,Associate Scientist,Full-Time,Eurofins,"Lancaster, PA",PA,"Lancaster,"
155,"Biologist /Wetland Scientist – Portland, ME/ Boston, MA",Full-Time,Tetra Tech,"Portland, ME",ME,"Portland,"
156,"Scientist, Clinical Research - NJ",Contractor,Apex Life Sciences,"Summit, NJ


View 6 more",NJ,"Portland,Summit,View6more"
157,Clinical Laboratory Scientist - Toxicology and Clinical Experienced,Full-Time,"Gulfstream Diagnostics, LLC","Dallas, TX",TX,"Dallas,"
158,Sr. Epoxy Coatings Scientist,Full-Time | Pay: $100k/year,Confidential,"Wilmington, DE",DE,"Wilmington,"
159,CLINICAL PROJECT SCIENTIST,Full-Time,Johnson & Johnson,"Spring House, PA",PA,"SpringHouse,"
160,Sample Management Scientist,Full-Time,Eurofins,"West Point, PA",PA,"WestPoint,"
161,Research Scientist I - High Content Assay Development & Screening,Full-Time,AMRI,"Buffalo, NY",NY,"Buffalo,"
162,Research Scientist- Method Developer,Full-Time,Apex Life Sciences,"Stilwell, KS


View 1 more",KS,"Buffalo,Stilwell,View1more"
163,Clinical Laboratory Scientist - FT - 7AM-7PM - Fri - Sun,Full-Time,Boerne Medical Center,"Boerne, TX


View 1 more",TX,"Buffalo,Stilwell,View1moreBoerne,View1more"
164,Associate Scientist,Full-Time,Kelly Scientific Resources,"Morris Plains, NJ


View 2 more",NJ,"Buffalo,Stilwell,View1moreBoerne,View1moreMorrisPlains,View2more"
165,Formulation Scientist,Full-Time,Atrium Staffing,"Bridgewater, NJ",NJ,"Bridgewater,"
166,Medical Safety Scientist,Contractor,Advanced Clinical,"Princeton, NJ",NJ,"Princeton,"
167,Medical Lab Scientist,Full-Time,UCHealth,"Aurora, CO",CO,"Aurora,"
168,Food Scientist,Contractor,Apex Life Sciences,"Hackettstown, NJ


View 1 more",NJ,"Aurora,Hackettstown,View1more"
169,Fermentation Scientist,Full-Time,Eurofins,"Sanford, NC


View 6 more",NC,"Aurora,Hackettstown,View1moreSanford,View6more"
170,Bioassay Scientist,Full-Time,Eurofins,"Spring House, PA


View 3 more",PA,"Aurora,Hackettstown,View1moreSanford,View6moreSpringHouse,View3more"
171,Purification Scientist,Full-Time,Eurofins,"Sanford, NC


View 1 more",NC,"Aurora,Hackettstown,View1moreSanford,View6moreSpringHouse,View3moreSanford,View1more"
172,Material Scientist,Full-Time | Pay: 30.00 - 40.00 /hour,Kelly Scientific Resources,"Marlborough, MA",MA,"Marlborough,"
173,R&D Formulation Scientist,Full-Time,Kelly Scientific Resources,"Dallas, TX


View 2 more",TX,"Marlborough,Dallas,View2more"
174,QC Scientist/Project Manager III,Contractor,Yoh,"South San Francisco, CA",CA,"SouthSanFrancisco,"
